Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21001A041;VEEWEYDE-SUD;Anderlecht;1387;0,022403089;31,07308467
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;1387;0,007206937;9,996022037
21001A83-;PETERBOS;Anderlecht;1387;0,028161981;39,0606681
21001A503;VIVES;Anderlecht;1387;0,015379238;21,33100315
21001A3MJ;CERIA I;Anderlecht;1387;8,3221E-05;0,115427506
21001A331;WALCOURT;Anderlecht;1387;0,001281603;1,777583595
21001A332;ROUE;Anderlecht;1387;0,009820076;13,62044573
21001A43-;VAN BEETHOVEN;Anderlecht;1387;0,01170087;16,22910737
21001A401;ARBORETUM;Anderlecht;1387;0,007023851;9,742081523
21001A32-;AURORE;Anderlecht;1387;0,036816964;51,06512874
21001A53-;NELLIE MELBA;Anderlecht;1387;0,003545214;4,917211764
21001A41-;ROMAIN ROLLAND;Anderlecht;1387;0,021704033;30,10349362
21001A492;ETANGS - PARC;Anderlecht;1387;0;0
21001A37-;ZUEN - INDUSTRIE;Anderlecht;1387;0,000149798;0,207769511
21001A85-;AUBADE;Anderlecht;1387;0,005559162;7,710557414
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;1387;0,001131805;1,569814084
21001A51-;SCHERDEMAEL;Anderlecht;1387;0,013648242;18,93011102
21001A42-;KAT;Anderlecht;1387;0,004710308;6,533196851
21001A52-;SCHERDEMAEL-NORD;Anderlecht;1387;0,004493933;6,233085335
21001C70-;BON AIR - CENTRE;Anderlecht;1387;0,002529918;3,508996188
21001A552;TREFLE;Anderlecht;1387;0,021837186;30,28817763
21001A84-;POESIE;Anderlecht;1387;0,010535777;14,61312228
21001A34-;ROUE - CITE JARDIN;Anderlecht;1387;0,019174115;26,59449743
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;1387;0,010535777;14,61312228
21001A441;DOCTEUR ROUX;Anderlecht;1387;0,018841231;26,1327874
21001C512;CHANTS D'OISEAUX;Anderlecht;1387;0,014613605;20,26907009
21001C71-;BON AIR - CITE JARDIN;Anderlecht;1387;0,012466504;17,29104043
21001A82-;MOORTEBEEK;Anderlecht;1387;0,015828631;21,95431168
21001C611;SOETKIN;Anderlecht;1387;0,004627087;6,417769345
21001C581;CIMETIERE;Anderlecht;1387;0,000449393;0,623308533
21001C522;HOPITAL U.L.B.;Anderlecht;1387;0,001930727;2,677918144
21001A451;VENIZELOS;Anderlecht;1387;0,014130923;19,59959055
21001A30-;BIZET;Anderlecht;1387;0,023401741;32,45821474
21001A80-;SILLON;Anderlecht;1387;0,026797157;37,167657
21001A81-;BROECK;Anderlecht;1387;0,016744062;23,22401425
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht;1387;0,00134818;1,8699256
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht;1387;0,006990563;9,695910521
21001A031;RAUTER-SUD;Anderlecht;1387;0,015662189;21,72345667
21001B22-;BROGNIEZ-SUD;Anderlecht;1387;0,010602353;14,70546429
