Code,Territoire,Part des moins de 3 ans dans la population totale (%),Nombre de places en milieu d'accueil par enfant de moins de trois ans (),Population totale (Nombre d'habitants),#0-2 ans,#places en creche
21001A00-,RESISTANCE,5.11,0.24,2837,145,0
21001A011,KLEINMOLEN,5.12,0.02,3220,165,0
21001A02-,WAYEZ,7.58,0.05,1042,79,0
21001A031,RAUTER-SUD,4.33,0.00,1942,84,0
21001A041,VEEWEYDE-SUD,4.67,0.30,2613,122,0
21001A051,LI0E-EST,5.86,0.00,1519,89,0
21001A07-,BIRMINGHAM,6.98,0.00,344,24,0
21001A08-,ASTRID (PARC),0.00,0.00,2,0,0
21001A10-,PORSELEIN,4.56,0.35,1096,50,0
21001A112,BIESTEBROEK,4.88,0.23,2846,139,0
21001A120,MINIMES,5.87,0.04,3371,198,0
21001A132,RAUTER-NORD,4.89,0.00,1083,53,0
21001A142,VEEWEYDE-NORD,4.44,1.17,1171,52,0
21001A152,LI0E-OUEST,4.89,0.00,1351,66,0
21001A30-,BIZET,5.26,0.00,2964,156,0
21001A31-,CHAUSSEE DE MONS - SAINT-LUC,6.52,0.00,798,52,0
21001A32-,AURORE,4.63,0.00,3976,184,0
21001A331,WALCOURT,0.00,0.00,182,0,0
21001A332,ROUE,4.65,0.00,1268,59,0
21001A34-,ROUE - CITE JARDIN,3.68,0.46,2255,83,0
21001A350,CERIA - ZONE D'HABITAT,4.46,0.00,1323,59,0
21001A37-,ZUEN - I0USTRIE,0.00,0.00,14,0,0
21001A3MJ,CERIA I,0.00,0.00,12,0,0
21001A401,ARBORETUM,4.47,1.67,738,33,0
21001A41-,ROMAIN ROLLA0,3.23,0.00,2324,75,0
21001A42-,KAT,2.73,0.00,549,15,0
21001A43-,VAN BEETHOVEN,5.46,0.00,1356,74,0
21001A441,DOCTEUR ROUX,4.79,0.18,2275,109,0
21001A451,VENIZELOS,4.21,0.00,1614,68,0
21001A472,STADE COMMUNAL - I0USTRIE,5.16,0.50,678,35,0
21001A492,ETANGS - PARC,0.00,0.00,0,0,0
21001A503,VIVES,4.55,0.00,1648,75,0
21001A51-,SCHERDEMAEL,2.53,0.00,1539,39,0
21001A52-,SCHERDEMAEL-NORD,3.29,0.00,486,16,0
21001A53-,NELLIE MELBA,4.02,0.00,423,17,0
21001A552,TREFLE,4.01,0.00,2541,102,0
21001A712,SCHEUT - DE SMET,5.35,0.08,954,51,0
21001A72-,OSSEGEM,5.46,0.47,3315,181,0
21001A732,SCHEUTVELD,1.99,0.00,301,6,0
21001A74-,SCHEUT-OUEST,4.76,0.00,2604,124,0
21001A783,SCHEUT-INTERNAT,0.00,0.00,1,0,0
21001A80-,SILLON,3.58,0.00,2878,103,0
21001A81-,BROECK,4.03,0.00,1836,74,0
21001A82-,MOORTEBEEK,2.91,0.00,1785,52,0
21001A83-,PETERBOS,3.50,0.44,3116,109,0
21001A84-,POESIE,7.07,0.00,1104,78,0
21001A85-,AUBADE,5.42,0.00,609,33,0
21001A90-,SCHEUTKAPEL,4.15,0.22,2121,88,0
21001A911,SCHEUT-EST,6.30,0.39,2160,136,0
21001A92-,JAKOB SMITS,5.66,0.11,3513,199,0
21001A931,AGRAFE-NORBERT GILLE,6.19,0.00,1988,123,0
21001A941,CROCUS,6.18,0.08,2202,136,0
21001A95-,BUFFON,4.51,0.08,3148,142,0
21001A982,PARC FORESTIER,0.00,0.00,0,0,0
21001B10-,ROSEE-EST,5.53,0.16,2622,145,0
21001B11-,ROSEE-OUEST,5.26,0.00,836,44,0
21001B17-,ABATTOIR,6.65,0.47,1053,70,0
21001B20-,CONSEIL-NORD,6.55,0.13,5542,363,0
21001B21-,BROGNIEZ-NORD,6.42,0.16,3569,229,0
21001B22-,BROGNIEZ-SUD,6.13,0.00,1239,76,0
21001B23-,CONSEIL-SUD,4.72,0.00,1505,71,0
21001B241,REVISION-SUD,6.05,0.00,2066,125,0
21001B25-,REVISION-NORD,5.41,0.38,3805,206,0
21001B31-,ALBERT I- IMMEUBLES,3.87,0.00,878,34,0
21001B321,ALBERT I- QUARTIER,5.92,0.76,1977,117,0
