Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Commune_from;Commune_to;Sum of Compte;;;
1000;BRUXELLES;Femme;29;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;2;;;
1000;BRUXELLES;Femme;29;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;3;;;
1000;BRUXELLES;Femme;29;1090;JETTE;21010;21000;Jette;Bruxelles;2;;;
1000;BRUXELLES;Femme;29;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;2;;;
1000;BRUXELLES;Femme;29;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;1;;;
1000;BRUXELLES;Femme;29;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;1;;;
1000;BRUXELLES;Femme;29;1180;UCCLE;21016;21000;Uccle;Bruxelles;2;;;
1000;BRUXELLES;Femme;29;1190;FOREST;21007;21000;Forest;Bruxelles;3;;;
1000;BRUXELLES;Femme;29;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;4;;;
1000;BRUXELLES;Femme;29;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;3;;;
1000;BRUXELLES;Femme;30;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;4;;;
1000;BRUXELLES;Femme;30;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;2;;;
1000;BRUXELLES;Femme;30;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;2;;;
1000;BRUXELLES;Femme;30;1050;IXELLES;21009;21000;Ixelles;Bruxelles;3;;;
1000;BRUXELLES;Femme;30;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;4;;;
1000;BRUXELLES;Femme;30;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;5;;;
1000;BRUXELLES;Femme;30;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;2;;;
1000;BRUXELLES;Femme;30;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;1;;;
1000;BRUXELLES;Femme;30;1090;JETTE;21010;21000;Jette;Bruxelles;1;;;
1000;BRUXELLES;Femme;30;1140;EVERE;21006;21000;Evere;Bruxelles;3;;;
1000;BRUXELLES;Femme;30;1180;UCCLE;21016;21000;Uccle;Bruxelles;3;;;
1000;BRUXELLES;Femme;30;1190;FOREST;21007;21000;Forest;Bruxelles;2;;;
1000;BRUXELLES;Femme;30;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;1;;;
1000;BRUXELLES;Femme;31;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;6;;;
1000;BRUXELLES;Femme;31;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;4;;;
1000;BRUXELLES;Femme;31;1050;IXELLES;21009;21000;Ixelles;Bruxelles;4;;;
1000;BRUXELLES;Femme;31;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;3;;;
1000;BRUXELLES;Femme;31;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;2;;;
